X,Y,Tangent X,Tangent Y,ddx,ddy
1.143,-2.286,0.762,0,0,0
4.1656,-2.4892,1.3462,-0.75,0,0
3.8354,-3.81,-2.9464,0,0,0
3.2,-2.4,1.3462,0.5334,0,0
6.1468,-2.2352,1.905,0.508,0,0
6.35,-0.8636,-0.75,1.0,0,0
5.0,-0.5,-1.25,-0.25,0,0
4.5,-1.5,0.2286,-2.5,0,0
7.0,-3.683,1.5,-0.2286,0,0
7.8,-3.0734,0.1016,1.5,0,0
7.366,-2.4,-1.8542,0.0254,0,0
0.3556,-2.4,-0.508,0,0,0
