X,Y,Tangent X,Tangent Y,ddx,ddy
1.143,2.286,0.762,0,0,0
4.0894,2.5654,1.6764,0.635,0,0
3.8354,3.8862,-2.9464,0,0.762,-11.8618
3.5814,2.54,1.3462,-0.5334,0,0
6.1468,2.2352,1.905,-0.508,-1.1176,-2.794
6.35,0.8636,-1.9304,-0.5334,-2.9464,6.1722
5.715,2.3368,1.2192,1.7526,2.3114,-0.381
7.1374,3.4544,0.6604,0.381,4.4704,2.2606
8.5598,3.2004,0.1016,-1.4224,-2.4384,5.4864
7.366,2.3622,-1.8542,-0.0254,5.969,-0.4572
0.3556,2.286,-0.508,0,0,0
