X,Y,Tangent X,Tangent Y,Fixed Theta,Reversed,Name
1.2260751879699248,-2.2511032125768966,3.048,0.0,true,false,
4.396995215311003,-2.5511114149008884,0.670851674641149,-0.7958550922761449,true,false,
3.759477785372522,-3.6094736842105264,-1.6417115516062886,0.2291729323308278,true,false,
3.667808612440191,-2.513610389610389,1.3625372522214625,0.7166862611073135,true,false,
6.680390977443608,-1.8135912508544088,1.1250307587149697,0.9458591934381408,true,false,
5.834534518113466,-1.1594066985645932,-1.4167053998632957,-1.1125304169514691,true,false,
5.947037593984962,-2.505276828434723,0.16667122351332964,-0.30834176349965814,true,false,
7.3137416267942585,-3.626140806561859,1.566709501025291,-0.5875160628844838,true,false,
8.292935064935063,-2.8469528366370467,-0.22500615174299377,0.8291893369788106,true,false,
7.130403280929595,-2.334438824333561,-1.8458838004101166,0.05833492822966502,true,false,
0.009375256322624741,-2.2636035543403956,-1.1250307587149693,0.0,true,false,
