X,Y,Tangent X,Tangent Y,Fixed Theta,Reversed,Name
1.2260751879699248,-2.2511032125768966,3.0480000000000,0.000000000000000,true,false,
4.64305898975627,-2.491028676021964,1.1746755723965192,-1.3689132654699585,true,false,
3.8013623197713615,-4.100426704344755,-1.6417115516062886,0.2291729323308278,true,false,
3.11382254905109,-2.380035708551427,2.250690729263672,1.2795022638964708,true,false,
6.767341061622941,-2.5804396775954523,1.1250307587149697,0.9458591934381408,true,false,
6.949246202755209,-1.1221154105520055,-0.42311978271095996,0.4930289529331692,false,false,
5.447758003917664,-1.1467805144343468,-1.1407610545582987,-1.3658301274846663,true,false,
5.793069458270446,-2.6112710574483797,0.18498827911756255,-0.3083137985292699,true,false,
7.303807071063869,-3.980184322918339,1.566709501025291,-0.5875160628844838,true,false,
8.654221508622072,-3.22789865450692,-0.18807141710285613,2.010205966410841,true,false,
7.285308243152114,-2.608187919463087,-1.8458838004101166,0.05833492822966502,true,false,
0.030684563758389256,-2.6112710574483797,-1.1250307587149693,0.0000000000000000,true,false,
